,Station,Sample Date,Sample Time,TEMP,Cl-Dis,TDS,pH,O2-Dis,COD,EC,BOD,TURB,Alk-Tot,H-T,Ca-Dis
0,IND00001,1979-02-27,12:00,22.0,48.0,,8.35,9.5,3.92,44.6,2.3,,164.0,,36.0
1,IND00001,1979-03-25,12:00,23.0,60.0,,8.3,9.65,16.0,42.88,2.2,,168.0,,44.0
2,IND00001,1979-04-29,12:00,24.0,56.0,,8.05,8.0,4.0,46.48,1.5,,164.0,,40.0
3,IND00001,1979-05-20,12:00,23.0,62.0,,8.3,,12.2,44.6,2.3,,185.0,,48.0
4,IND00001,1979-06-27,12:00,29.0,65.0,,8.2,8.4,4.0,39.8,2.5,,170.0,,40.0
5,IND00001,1979-11-21,12:00,33.0,70.0,,8.25,8.2,20.0,37.2,1.5,,240.0,,32.0
6,IND00001,1979-12-30,12:00,19.5,60.0,,7.8,8.3,9.5,139.4,1.8,,160.0,,40.0
7,IND00001,1980-01-01,12:00,20.0,70.0,0.0,8.5,11.0,25.1,45.0,2.0,14.0,150.0,210.0,100.0
8,IND00001,1980-07-01,12:00,27.0,30.0,0.0,8.6,7.4,11.7,21.0,3.5,22.0,90.0,100.0,50.0
9,IND00001,1980-08-01,12:00,31.0,40.0,0.0,8.6,7.7,8.0,22.0,0.0,35.0,100.0,100.0,65.0
10,IND00001,1980-10-01,12:00,30.0,40.0,0.0,8.5,9.2,8.0,,3.0,21.0,120.0,90.0,70.0
11,IND00001,1980-12-01,12:00,21.0,70.0,0.0,8.2,,4.0,25.0,1.3,15.0,160.0,150.0,80.0
12,IND00001,1981-10-01,12:00,26.0,60.0,0.0,7.1,9.5,5.0,26.0,1.0,8.0,120.0,120.0,100.0
13,IND00001,1981-11-01,12:00,25.0,70.0,0.0,7.0,10.0,3.0,,1.1,15.0,,110.0,90.0
14,IND00001,1981-12-01,12:00,26.0,34.0,0.0,7.8,9.5,3.0,33.0,1.0,14.0,150.0,140.0,90.0
15,IND00001,1982-01-01,12:00,24.0,60.0,0.0,7.2,10.0,3.0,36.0,1.3,11.0,170.0,130.0,100.0
16,IND00001,1982-02-01,12:00,23.0,58.0,0.0,7.0,9.8,4.0,35.0,1.1,11.0,170.0,150.0,100.0
17,IND00001,1982-03-01,12:00,30.0,60.0,0.0,7.4,11.6,4.0,33.0,3.2,10.0,130.0,140.0,90.0
18,IND00001,1982-04-01,12:00,28.0,50.0,0.0,7.5,10.4,10.0,49.0,6.3,25.0,140.0,180.0,100.0
19,IND00001,1982-05-01,12:00,27.5,50.0,0.0,8.0,9.4,1.0,45.0,3.8,10.0,220.0,130.0,90.0
